Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,Lenovo,,Intel Core i5,6 - 8,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Срочно Продаю Ноутбук! Lenovo Игровой! Батарейку держит отлично!,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-lenovo-igrovoj-batarejku-derzit-otlicno-id-88686104,17 000 KGS
Б/у,Acer,,AMD A10,6 - 8,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Распродажа дёшево ноутбуки! Срочно! По оптовым ценам! Самые низкие,https://lalafo.kg/bishkek/ads/rasprodaza-desevo-noutbuki-srocno-po-optovym-cenam-samye-nizkie-id-86661767,10 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Acer,PEW 71,Intel Core i3,8,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Acer PEW 71, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-pew-71-intel-core-i3-8-gb-ozu-156-id-78863793,12 000 KGS
Новый,Acer,,AMD A6,,,6,,,,,Ноутбук,Игровой,,,,,,Платная доставка,"Ремонт,скупка, продажа ноутбуки, компьютеры и аксессуары",https://lalafo.kg/bishkek/ads/remontskupka-prodaza-noutbuki-komputery-i-aksessuary-id-96174642,Договорная
Б/у,Apple,,Intel Core i5,4,2.0 - 2.4 ГГц,2,13.3,2K (2560х1600),,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Mac OS,Белый,,Платная доставка,"Apple Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i5-4-gb-ozu-133-id-86091500,38 000 KGS
Б/у,Acer,DESKTOP,,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,,Самовывоз,"Acer DESKTOP, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-desktop-4-gb-ozu-156-id-83547180,15 500 KGS
Б/у,HP,hp,Другой процессор,4,До 1.4 ГГц,4,14.1,2K (2560x1440),AMOLED,Другая видеокарта,Нетбук,"Для работы, учебы",HDD,1 ТБ,Другая ОС,Красный,Более 7000 мАч,Самовывоз,"HP hp, Другой процессор, 4 ГБ ОЗУ, 14.1 """,https://lalafo.kg/orto-saiy/ads/hp-hp-drugoj-processor-4-gb-ozu-141-id-98818936,15 000 KGS
Б/у,Asus,,,,,,,,,,,,,,,Черный,,,Asus,https://lalafo.kg/bishkek/ads/asus-id-99520252,16 000 KGS
Новый,Apple,macbook Air,Apple M1,8,2.0 - 2.4 ГГц,8,13.3,Full HD (1920х1200),Другой тип матрицы,,Ноутбук,Игровой,SSD,256 ГБ,Mac OS,Серый,5000 - 6000 мАч,Самовывоз,"Apple macbook Air, Apple M1, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-macbook-air-apple-m1-8-gb-ozu-133-id-93703294,1 070 USD
Б/у,Lenovo,,Intel Celeron,4,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,"Срочно Продаю Ноутбук! Lenovo тонкий стильный, красивый! Игровой! Для",https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-lenovo-tonkij-stilnyj-krasivyj-igrovoj-dla-id-75832385,15 000 KGS
Б/у,HP,,Intel Core i5,4,,4,14.1 - 15.6,,,,Ультрабук,Игровой,,,,,,Самовывоз,Срочно продаю ультрабук! Hp игровой! Для дизайна! Батарейку держит,https://lalafo.kg/bishkek/ads/srocno-prodau-ultrabuk-hp-igrovoj-dla-dizajna-batarejku-derzit-id-88730431,20 000 KGS
Б/у,Samsung,,Intel Core i5,4,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,Серый,,Самовывоз,"Samsung Intel Core i5, 4 ГБ ОЗУ, 14.1 - 15.6 """,https://lalafo.kg/bishkek/ads/samsung-intel-core-i5-4-gb-ozu-141-156-id-76927237,15 000 KGS
Б/у,Lenovo,,Intel Core i5,6 - 8,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Срочно Продаю Ноутбук! Lenovo Игровой! Батарейку держит отлично!,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-lenovo-igrovoj-batarejku-derzit-otlicno-id-88686104,17 000 KGS
Б/у,Acer,,AMD A10,6 - 8,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Распродажа дёшево ноутбуки! Срочно! По оптовым ценам! Самые низкие,https://lalafo.kg/bishkek/ads/rasprodaza-desevo-noutbuki-srocno-po-optovym-cenam-samye-nizkie-id-86661767,10 000 KGS
Б/у,Dell,,Intel Core i7,6 - 8,,4,14.1 - 15.6,,,,Ультрабук,"Для работы, учебы",,,,,,Самовывоз,Срочно продаю ультрабук! Dell очень тонкий легкий для дизайна!,https://lalafo.kg/bishkek/ads/srocno-prodau-ultrabuk-dell-ocen-tonkij-legkij-dla-dizajna-id-87844704,24 000 KGS
Б/у,Samsung,,Intel Core i7,6 - 8,,8,14.1 - 15.6,,,,Ноутбук,Игровой,,,,Синий,,Самовывоз,"Samsung Intel Core i7, 6 - 8 ГБ ОЗУ, 14.1 - 15.6 """,https://lalafo.kg/bishkek/ads/samsung-intel-core-i7-6-8-gb-ozu-141-156-id-76926898,27 000 KGS
,Dell,,Intel Core i5,16,2.0 - 2.4 ГГц,,14.3,Full HD (1920x1080),IPS,,Ультрабук,,SSD,256 ГБ,Windows,Черный,,,"Dell Intel Core i5, 16 ГБ ОЗУ, 14.3 """,https://lalafo.kg/osh/ads/dell-intel-core-i5-16-gb-ozu-143-id-87819548,45 000 KGS
Б/у,MSI,MSI GS63VR,Intel Core i7,16,,8,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1070 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,,Самовывоз,"MSI MSI GS63VR, Intel Core i7, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-msi-gs63vr-intel-core-i7-16-gb-ozu-156-id-38701382,75 000 KGS
Б/у,Другой бренд ноутбука,Walmart ,Intel Core i7,16,2.0 - 2.4 ГГц,12,15.4,4K (3840х2160),,NVIDIA GeForce GTX 1060,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Walmart Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/walmart-intel-core-i7-16-gb-ozu-154-id-96060864,90 000 KGS
Б/у,HP,,AMD E,4,,4,14.1 - 15.6,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,Срочно Продаю Ноутбук HP! Полный комплект! Батарейку держит! Состояние,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-hp-polnyj-komplekt-batarejku-derzit-sostoanie-id-76288478,10 000 KGS
Б/у,Lenovo,,AMD FX,4,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Срочно Продаю Ноутбук Lenovo! Полный комплект! Батарейку держит!,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-lenovo-polnyj-komplekt-batarejku-derzit-id-75702923,9 999 KGS
Б/у,Acer,,Intel Core i3,4,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Срочно Продаю Ноутбук! Acer Для онлайн обучения! И игр Состояние,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-acer-dla-onlajn-obucenia-i-igr-sostoanie-id-76927549,14 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,HP,,AMD E,4,,4,14.1 - 15.6,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,Срочно Продаю Ноутбук HP! Полный комплект! Батарейку держит! Состояние,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-hp-polnyj-komplekt-batarejku-derzit-sostoanie-id-76288478,10 000 KGS
Б/у,Lenovo,,AMD FX,4,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Срочно Продаю Ноутбук Lenovo! Полный комплект! Батарейку держит!,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-lenovo-polnyj-komplekt-batarejku-derzit-id-75702923,9 999 KGS
Б/у,Acer,,Intel Core i3,4,,4,14.1 - 15.6,,,,Ноутбук,Игровой,,,,,,Самовывоз,Срочно Продаю Ноутбук! Acer Для онлайн обучения! И игр Состояние,https://lalafo.kg/bishkek/ads/srocno-prodau-noutbuk-acer-dla-onlajn-obucenia-i-igr-sostoanie-id-76927549,14 000 KGS
Б/у,Acer,,Intel Core i3,4,,,,,,,Ноутбук,,HDD,,,,,Самовывоз,Ноутбук Acer Процессор: Intel core i3-3110 Оперативная память: 4 gb,https://lalafo.kg/bishkek/ads/noutbuk-acer-processor-intel-core-i3-3110-operativnaa-pamat-4-gb-id-87377733,13 000 KGS
Б/у,Acer,swift1,Другой процессор,,,64,,Full HD (1920x1080),,,Ультрабук,"Для работы, учебы",Другой тип накопителя,до 128 ГБ,Windows,Коричневый,,,"Acer swift1, Другой процессор",https://lalafo.kg/bishkek/ads/acer-swift1-drugoj-processor-id-99506298,45 000 KGS
Б/у,Apple,Macbook Pro,Intel Core i5,8,Более 3 ГГц,,13.3,,IPS,Другая видеокарта,Ноутбук,Игровой,SSD,256 ГБ,Mac OS,Черный,,Самовывоз,"Apple Macbook Pro, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-macbook-pro-intel-core-i5-8-gb-ozu-133-id-99081968,1 000 USD
Б/у,Packard Bell,,Intel Core i5,4,,4,15.6,,,,Ноутбук,Игровой,HDD,512 ГБ,Windows,,,,"Продаётся ИГРАВОЙ, мощный ноутбук в отличном состоянии характеристики",https://lalafo.kg/osh/ads/prodaetsa-igravoj-mosnyj-noutbuk-v-otlicnom-sostoanii-harakteristiki-id-97899645,18 000 KGS
Б/у,Apple,,,,,,,,,,,,,,,,,,Выкуп Apple Macbook в любом состоянии. От 2011 года Все модели,https://lalafo.kg/bishkek/ads/vykup-apple-macbook-v-lubom-sostoanii-ot-2011-goda-vse-modeli-id-49344627,2 500 KGS
Б/у,,,,,,,,,,,Ноутбук,,,,,,,,Вам срочно сейчас понадобились деньги?,https://lalafo.kg/bishkek/ads/vam-srocno-sejcas-ponadobilis-dengi-id-47734868,500 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Acer,PEW 71,Intel Core i3,8,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Acer PEW 71, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-pew-71-intel-core-i3-8-gb-ozu-156-id-78863793,12 000 KGS
Новый,Acer,,AMD A6,,,6,,,,,Ноутбук,Игровой,,,,,,Платная доставка,"Ремонт,скупка, продажа ноутбуки, компьютеры и аксессуары",https://lalafo.kg/bishkek/ads/remontskupka-prodaza-noutbuki-komputery-i-aksessuary-id-96174642,Договорная
Б/у,Apple,,Intel Core i5,4,2.0 - 2.4 ГГц,2,13.3,2K (2560х1600),,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Mac OS,Белый,,Платная доставка,"Apple Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i5-4-gb-ozu-133-id-86091500,38 000 KGS
Б/у,Acer,DESKTOP,,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,,Самовывоз,"Acer DESKTOP, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-desktop-4-gb-ozu-156-id-83547180,15 500 KGS
Б/у,HP,hp,Другой процессор,4,До 1.4 ГГц,4,14.1,2K (2560x1440),AMOLED,Другая видеокарта,Нетбук,"Для работы, учебы",HDD,1 ТБ,Другая ОС,Красный,Более 7000 мАч,Самовывоз,"HP hp, Другой процессор, 4 ГБ ОЗУ, 14.1 """,https://lalafo.kg/orto-saiy/ads/hp-hp-drugoj-processor-4-gb-ozu-141-id-98818936,15 000 KGS
Б/у,Acer,,Intel Core i3,4,,,,,,,Ноутбук,,HDD,,,,,Самовывоз,Ноутбук Acer Процессор: Intel core i3-3110 Оперативная память: 4 gb,https://lalafo.kg/bishkek/ads/noutbuk-acer-processor-intel-core-i3-3110-operativnaa-pamat-4-gb-id-87377733,13 000 KGS
Б/у,Acer,swift1,Другой процессор,,,64,,Full HD (1920x1080),,,Ультрабук,"Для работы, учебы",Другой тип накопителя,до 128 ГБ,Windows,Коричневый,,,"Acer swift1, Другой процессор",https://lalafo.kg/bishkek/ads/acer-swift1-drugoj-processor-id-99506298,45 000 KGS
Б/у,Apple,Macbook Pro,Intel Core i5,8,Более 3 ГГц,,13.3,,IPS,Другая видеокарта,Ноутбук,Игровой,SSD,256 ГБ,Mac OS,Черный,,Самовывоз,"Apple Macbook Pro, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-macbook-pro-intel-core-i5-8-gb-ozu-133-id-99081968,1 000 USD
Б/у,Packard Bell,,Intel Core i5,4,,4,15.6,,,,Ноутбук,Игровой,HDD,512 ГБ,Windows,,,,"Продаётся ИГРАВОЙ, мощный ноутбук в отличном состоянии характеристики",https://lalafo.kg/osh/ads/prodaetsa-igravoj-mosnyj-noutbuk-v-otlicnom-sostoanii-harakteristiki-id-97899645,18 000 KGS
Б/у,Apple,,,,,,,,,,,,,,,,,,Выкуп Apple Macbook в любом состоянии. От 2011 года Все модели,https://lalafo.kg/bishkek/ads/vykup-apple-macbook-v-lubom-sostoanii-ot-2011-goda-vse-modeli-id-49344627,2 500 KGS
Б/у,,,,,,,,,,,Ноутбук,,,,,,,,Вам срочно сейчас понадобились деньги?,https://lalafo.kg/bishkek/ads/vam-srocno-sejcas-ponadobilis-dengi-id-47734868,500 KGS
Б/у,,,,,,,,,,,,,,,,,,,"Срочный выкупов ноутбуков и нетбуков. Все модели Acer, Apple, Asus",https://lalafo.kg/bishkek/ads/srocnyj-vykupov-noutbukov-i-netbukov-vse-modeli-acer-apple-asus-id-52201588,3 500 KGS
Новый,Lenovo,Lenovo V14-ADA,Другой процессор,4,,,,,,,Ноутбук,"Для работы, учебы",,,,Серый,,Самовывоз,"Lenovo Lenovo V14-ADA, Другой процессор, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/lenovo-lenovo-v14-ada-drugoj-processor-4-gb-ozu-id-99232477,30 000 KGS
,Lenovo,,,,,,,,,,,,,,,,,,Куплю матрицу экран для ноутбука нужен 15.6 слим 30 пин,https://lalafo.kg/bishkek/ads/kuplu-matricu-ekran-dla-noutbuka-nuzen-156-slim-30-pin-id-96717677,Договорная
Новый,Dell,,AMD Ryzen 5,8,,4,,,,,Ноутбук,Игровой,,,Windows,Черный,,Самовывоз,"Dell AMD Ryzen 5, 8 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/dell-amd-ryzen-5-8-gb-ozu-id-92048310,500 USD
Б/у,Acer,,Intel Core i3,8,1.5 - 1.9 ГГц,4,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/dzhalal-abad/ads/acer-intel-core-i3-8-gb-ozu-156-id-98609183,11 999 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Acer,PEW 71,Intel Core i3,8,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Acer PEW 71, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-pew-71-intel-core-i3-8-gb-ozu-156-id-78863793,12 000 KGS
Новый,Acer,,AMD A6,,,6,,,,,Ноутбук,Игровой,,,,,,Платная доставка,"Ремонт,скупка, продажа ноутбуки, компьютеры и аксессуары",https://lalafo.kg/bishkek/ads/remontskupka-prodaza-noutbuki-komputery-i-aksessuary-id-96174642,Договорная
Б/у,Apple,,Intel Core i5,4,2.0 - 2.4 ГГц,2,13.3,2K (2560х1600),,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Mac OS,Белый,,Платная доставка,"Apple Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i5-4-gb-ozu-133-id-86091500,38 000 KGS
Б/у,Acer,DESKTOP,,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,,Самовывоз,"Acer DESKTOP, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-desktop-4-gb-ozu-156-id-83547180,15 500 KGS
